Issue Year,Effective Month,Printed Volume,Printed Number,Computed Volume
1932,4,3,1,2
1935,11,6,2,6
1936,2,6,4,6
1936,12,7,2,7
1939,10,10,1,10
1939,12,10,2,10
1940,3,10,3,10
1940,11,11,1,11
1941,1,10,2,11
1941,3,10,3,11
1941,12,11,1,12
1942,2,11,2,12
1942,5,11,3,12
1943,5,12,3,13
1943,11,12,4,14
1944,4,13,2,14
1944,7,13,3,14
1944,12,13,4,15
1945,3,14,1,15
1945,6,14,2,15
1945,9,14,3,16
1946,2,15,1,16
1946,11,15,2,17
1946,12,15,3,17
1947,3,16,1,17
1947,6,16,2,17
1947,11,17,1,18
1947,12,18,2,18
1948,4,17,3,18
1948,10,18,1,19
1949,5,18,2,19
1949,11,19,1,20
1949,12,19,2,20
1950,5,,,20
1950,11,24,1,21
1951,3,24,3,21
1951,11,25,1,22
1952,11,26,1,23
1954,1,27,1,24
1954,4,28,2,24
1954,5,28,3,24
1955,1,24,2,25
1955,4,30,1,25
1958,6,33,3,28
1958,12,34,1,29
1959,4,32,2,29
1959,12,33,1,30
1960,12,,,31
1961,5,,,31
1961,11,,,32
1962,3,,,32
1963,3,39,2,33
1965,4,41,1,35
1967,1,20,1,37
1967,8,20,2,38
1968,1,,,38
1968,8,,,39
1969,1,,,39
1971,3,,,41
1974,3,,,44
1975,12,,,46
1976,6,,,46
1976,11,,,47
1977,3,,,47
1977,5,,,47
1979,5,37,1,49
1979,10,37,2,50
1980,7,38,2,50
1980,11,39,,51
1981,7,41,,51
1983,7,39,,53
1984,7,43,1,54
1989,9,51,1,60
1990,3,52,2,60
1991,7,41,,61
1991,11,41,,62
1992,5,,,62
1993,1,,,63
1993,5,,,63
1993,9,,,64
1994,3,,,64
1998,11,,,65
1999,5,,,65
2001,3,,,67
2002,3,,,68
2003,5,,,69
2004,4,,,70
2005,1,,,71
2005,5,,,71
2006,1,,,72
2006,7,,,72
2007,2,,,73
2007,10,,,74
2008,2,,,74
2008,9,,,75
2009,2,,,75
2009,12,,,76
2010,7,,,76
2010,11,,,77
2011,7,,,77
2012,2,,,78
2012,9,,,79
2013,5,,,79
2013,12,80,1,80
2014,5,80,2,80
2014,12,81,1,81
2015,5,81,2,81
